Causal Phrase,Sentiment,,
By default runs in slow motion,NEGATIVE,,
Bad camera,NEGATIVE,,
Cemera quality very poor,NEGATIVE,,
Camera is too bad,NEGATIVE,,
Camera is good,POSITIVE,,
Super camera,POSITIVE,,
camera is little better,POSITIVE,,
Decent camera at this price,POSITIVE,,
Nice phone good camera clarity,POSITIVE,,
little bit heavy  then common,POSITIVE,,
Awesome phone and camera,POSITIVE,,
Poor camera,NEGATIVE,,
Camera quality bad,NEGATIVE,,
Good product but back camera not good,NEUTRAL,,
Camera is good,POSITIVE,,
Camera quality is good,POSITIVE,,
Super camera,POSITIVE,,
little bit slow,NEUTRAL,,
Best camera phone for all,POSITIVE,,
Good camera,POSITIVE,,
Good camera,POSITIVE,,
Camera is very poor,NEGATIVE,,
bought if for 9799 battery backup is fine display is good camera is average overall performance of the device is good,POSITIVE,,
such a bad quality camera,NEGATIVE,,
price is little bit on higher side,NEUTRAL,,
process little bit late,NEUTRAL,,
Camera quality is poor,NEGATIVE,,
best camera in front,POSITIVE,,
"Good product,Only the performance is Little bit slow",POSITIVE,,
the processor is little bit slow,NEUTRAL,,
Average camera,NEUTRAL,,
camra is also good,POSITIVE,,
Camera quality is poor,NEGATIVE,,
Am not stisfied with my mobile camera,NEGATIVE,,
Awesome camera,POSITIVE,,
Cemra very good,POSITIVE,,
Camera quality very poor,NEGATIVE,,
Little bit overpriced with decent quality,NEUTRAL,,
Good camera,POSITIVE,,
camera is good,POSITIVE,,
Camera and Display -Below Average,NEUTRAL,,
Very good photo,POSITIVE,,
Nice picture,NEUTRAL,,
Awesome camera,POSITIVE,,
Nice mobile good battery backup and camera quality,POSITIVE,,
Camera quality is very bad,NEGATIVE,,
camera quality is too bad,NEGATIVE,,
Good pic,POSITIVE,,
Camera quality very poor,NEGATIVE,,
back camera is good,POSITIVE,,
Camera quality is bad,NEGATIVE,,
camera quality is bad,NEGATIVE,,
rear camera is mind,POSITIVE,,
Getting hanging sometimes mobile videos are not playing good getting slow motion,NEGATIVE,,
Display i feel display is little bit bad,NEGATIVE,,
camera quality is poor,NEGATIVE,,
Average camera,NEUTRAL,,
camera quality is good,POSITIVE,,
front camera will disappoint you with 5mp,NEGATIVE,,
Super camera,POSITIVE,,
Camera is also ok,POSITIVE,,
Excellent camera,POSITIVE,,
