,0,1,2
0,very,very nice super picture quality,POSITIVE
1,nice,product picture quality is good,POSITIVE
2,super,Value of money Nice picture quality,POSITIVE
3,picture,Some times the screen cast or chrome cast gets stuck,NEGATIVE
4,quality,Awesome led display quality perfect ð¥ sond bes,POSITIVE
5,nice,REALLY LOVEâ¤ THIS TV AWESOME PICTURE QUALITY,POSITIVE
6,product,picture quality is very good,POSITIVE
7,picture,Nice Picture Quality,POSITIVE
8,quality,Nice tv for this price amazing video quality,POSITIVE
9,is,"Really nice product , value of money better picture quality",POSITIVE
10,good,Picture quality best,POSITIVE
11,but,"amazing product , good picture quality",POSITIVE
12,sound,good productPicture quality,POSITIVE
13,quality,product picture quality good,POSITIVE
14,is,Nice picture quality sound quality perfect,POSITIVE
15,not,Nice TV good Picture quality,POSITIVE
16,good,this MI TV best product song best picture quality,POSITIVE
17,same,Super LCD Very Nice,POSITIVE
18,day,amazing I really liked it picture quality,POSITIVE
19,installation,Sounds osam picture best,POSITIVE
20,value,Tv is superb in cost effective Great picture quality,POSITIVE
21,of,Better Picture Quality is Good Sound Quality is Awesome,POSITIVE
22,money,This is the best tv in under rs13000 nice picture,POSITIVE
23,nice,Everything is too good finePicture quality is superb,POSITIVE
24,picture,Best quality tv And sound picture,POSITIVE
25,quality,Worth prizeNice picture qualityDecent,POSITIVE
26,above,for money product âââââ very good quality picture,POSITIVE
27,ours,Nice TV nice picture,POSITIVE
28,thinking,Quality is best picture quality  very nice,POSITIVE
29,value,Best product picture quality,POSITIVE
30,for,Very Nice All Pictures,POSITIVE
31,money,performance picture quality awsm sound almost OK OK view angle,POSITIVE
32,completed,good pictures,POSITIVE
33,using,only in 4 months TV got screen problem,NEGATIVE
34,a,product is very good thanks to Flipkart pictures,POSITIVE
35,year,Good picture quality,POSITIVE
36,now,Worst sound worst picture quality,NEGATIVE
37,some,Very nice product nice picture quality,POSITIVE
38,times,Superb for me this price hd smart,POSITIVE
39,the,Don't buy Mi TB Screen cast not working,NEUTRAL
40,screen,Best rate best clarity,POSITIVE
41,cast,value for money  picture quality,POSITIVE
42,or,product good quality of picture,POSITIVE
43,chrome,Nice TV with great picture quality,POSITIVE
44,cast,Awesome product with good quality of picture,POSITIVE
45,gets,Value for money product sound quality picture quality,POSITIVE
46,stuck,Very bad quality tv it's led screen damaged,NEGATIVE
47,which,Display qualityValue for money Better,POSITIVE
48,is,Sounds good picture excellent love,POSITIVE
49,very,good from MI Sound good Picture quality,POSITIVE
50,rarely,Mi tv very nice clarity,POSITIVE
51,but,picture quality is good,POSITIVE
52,this,picture Love Android Good specification Sound quality,POSITIVE
53,issue,Excellent picture quality good sound Best,POSITIVE
54,comes,awesomeThe HD features is very good,POSITIVE
55,awesome,Rate reasonable nice pic quality,POSITIVE
56,led,Worth of MoneyGood Sound QualityGood Picture Quality,POSITIVE
57,display,"quality screen, superb",POSITIVE
58,quality,Picture kwality is super nice,POSITIVE
59,perfect,Awesome product at this price picture quality,POSITIVE
60,son,Good value ð picture qualit,POSITIVE
61,bes,Best Android experience TV nice sound quality nice picture,POSITIVE
62,i,Product is good picture quality,POSITIVE
63, R E A L L Y,"picture quality is good, head phone out available",POSITIVE
64, L O V E,picture quality Enjoying its amazing features Excellent,POSITIVE
65, T H I S,product good picture quality,POSITIVE
66,tov,overall nice picture,POSITIVE
67, A W E S O M E,Awesome product good picture quality  price is best,POSITIVE
68, P I C T U R E,for money picture quality is good,POSITIVE
69, Q U A L I T Y,very awesome product I like it picture quality very nice,POSITIVE
70, B E S T,nice sound nice picture quality,POSITIVE
71, C O N N E C T I V I T Y,the best led tv ever best picture quality sound,POSITIVE
72, C L E A R,product is goodpicture quality awesome,POSITIVE
73, S O U N D,value for money#small price best picture quality#must,POSITIVE
74, E V E R Y T H I N G,PICTURE QUALITY IS AWESOME AND,POSITIVE
75,we,picture quality awesome fast,POSITIVE
76,know,nice product picture quality,POSITIVE
77,mi,go for another brandPicture quality,NEUTRAL
78,brand,now happy with tv the picture quality is awesome,POSITIVE
79,is,"nice,, 4k video support, good sound quality, thanks",POSITIVE
80,the,Good quality good picture,POSITIVE
81,cheap,picture quality is good,POSITIVE
82,and,perfect TV in perfect costnice pic quality,POSITIVE
83,best,sound good picture quality,POSITIVE
84,picture,product was good low price nice picture quality,POSITIVE
85,quality,best picture quality,POSITIVE
86,is,picture quality best led hai nice,POSITIVE
87,very,very nice product picture quality awesome,POSITIVE
88,good,good product nice picture quality,POSITIVE
89,full,Really nice the picture quality is awesome,POSITIVE
90,value,Picture quality too bad or multiscreen not free,NEGATIVE
91,of,Excellent picture quality,POSITIVE
92,money,nice budget led in 40 inch full hd,POSITIVE
93,product,value for money product cz display quality is best,POSITIVE
94,delivery,product best sound best picture quality,POSITIVE
95,is,very nice mi tv clarity excellent,POSITIVE
96,nice,Awesome product At this Price Must buy Product Picture quality,POSITIVE
97,picture,picture quality very good,POSITIVE
98, Quality Nice,Nice product picture clarity better,POSITIVE
99,sound,very good mi led tv nice picture,POSITIVE
100,quality,Awesome Picture quality#Value,POSITIVE
101,nice,value of money Sonal picture quality best,POSITIVE
102,to,picture quality is too good,POSITIVE
103,for,features clarity good I feel very happy,POSITIVE
104,this,good product 4k suppoted picture quality,POSITIVE
105,price,Pic quality is good,POSITIVE
106,amazing,awesome picture quality great deal thanks,POSITIVE
107,video,money picture Clereaty is good,POSITIVE
108,quality,bad picture quality,NEGATIVE
109,satisfied,product     good picture quality,POSITIVE
110,really,Picture quality very nice,POSITIVE
111,nice,budget tv in 49 inch picture quality is good,POSITIVE
112,product,display song,NEUTRAL
113,value,picture quality very nicefeature loadedgood,NEUTRAL
114,of,value for money good tv screen clarity awesome,POSITIVE
115,money,nice pic quality song effects superb best money valuable,POSITIVE
116,better,picture good sounds great product thanks,POSITIVE
117,picture,Best picture quality,POSITIVE
118,quality,good pictures,POSITIVE
119,better,Nice Product superb picture quality,POSITIVE
120,sound,nice tv in low pricepicture quality,POSITIVE
121,quality,Best LED in price range good picture quality,POSITIVE
122,light,New mi tv #super quality amazing pic quality,POSITIVE
123,weight,Awesome product on 9999/- Picture quality,POSITIVE
124,good,good according to its price viewing,POSITIVE
125,picture,installed good picture quality nice good sound i am happy,POSITIVE
126,quality,you  value of money  good picture quality,POSITIVE
127,best,picture good conectivity,POSITIVE
128,connectivity,good led at very good price super picture quality sound,POSITIVE
129,best,good sound is good picture quality,POSITIVE
130,amazing,nice tv picture quality excellent,POSITIVE
131,product,product good picture quality,POSITIVE
132,good,Good Product Nice Picture Quality Sound,POSITIVE
133,picture,Nice i got on RS 11850 wow superb picture quality,POSITIVE
