,Causal Phrase,Sentiment
0,very nice super picture quality,POSITIVE
1,product picture quality is good,POSITIVE
2,Value of money Nice picture quality,POSITIVE
3,Some times the screen cast or chrome cast gets stuck,NEGATIVE
4,Awesome led display quality perfect sond bes,POSITIVE
5,REALLY LOVE THIS TV AWESOME PICTURE QUALITY,POSITIVE
6,picture quality is very good,POSITIVE
7,Nice Picture Quality,POSITIVE
8,Nice tv for this price amazing video quality,POSITIVE
9,"Really nice product , value of money better picture quality",POSITIVE
10,Picture quality best,POSITIVE
11,"amazing product , good picture quality",POSITIVE
12,good productPicture quality,POSITIVE
13,product picture quality good,POSITIVE
14,Nice picture quality sound quality perfect,POSITIVE
15,Nice TV good Picture quality,POSITIVE
16,this MI TV best product song best picture quality,POSITIVE
17,Super LCD Very Nice,POSITIVE
18,amazing I really liked it picture quality,POSITIVE
19,Sounds osam picture best,POSITIVE
20,Tv is superb in cost effective Great picture quality,POSITIVE
21,Better Picture Quality is Good Sound Quality is Awesome,POSITIVE
22,This is the best tv in under rs13000 nice picture,POSITIVE
23,Everything is too good finePicture quality is superb,POSITIVE
24,Best quality tv And sound picture,POSITIVE
25,Worth prizeNice picture qualityDecent,POSITIVE
26,for money producT very good quality picture,POSITIVE
27,Nice TV nice picture,POSITIVE
28,Quality is best picture quality  very nice,POSITIVE
29,Best product picture quality,POSITIVE
30,Very Nice All Pictures,POSITIVE
31,performance picture quality awsm sound almost OK OK view angle,POSITIVE
32,good pictures,POSITIVE
33,only in 4 months TV got screen problem,NEGATIVE
34,product is very good thanks to Flipkart pictures,POSITIVE
35,Good picture quality,POSITIVE
36,Worst sound worst picture quality,NEGATIVE
37,Very nice product nice picture quality,POSITIVE
38,Superb for me this price hd smart,POSITIVE
39,Don't buy Mi TB Screen cast not working,NEGATIVE
40,Best rate best clarity,POSITIVE
41,value for money  picture quality,POSITIVE
42,product good quality of picture,POSITIVE
43,Nice TV with great picture quality,POSITIVE
44,Awesome product with good quality of picture,POSITIVE
45,Value for money product sound quality picture quality,POSITIVE
46,Very bad quality tv it's led screen damaged,NEGATIVE
47,Display qualityValue for money Better,POSITIVE
48,Sounds good picture excellent love,POSITIVE
49,good from MI Sound good Picture quality,POSITIVE
50,Mi tv very nice clarity,POSITIVE
51,picture quality is good,POSITIVE
52,picture Love Android Good specification Sound quality,POSITIVE
53,Excellent picture quality good sound Best,POSITIVE
