,0,1,2,,
0,...phone ever. Highly software related issues.By default runs in slow motion. Stay away from it.,By default runs in slow motion,NEGATIVE,,
1,"...more specifications like xiaomi poco m3. Bad camera. Good for just day to day activities, dont",Bad camera,NEGATIVE,,
2,...Cemera quality very poor,Cemera quality very poor,NEGATIVE,,
3,"...Camera is too bad, I writting this review after 1 yers through",Camera is too bad,NEGATIVE,,
4,...facebook & talking it gave 2-3 days battery.Camera is good but not great.I didn't played in it. Bought,Camera is good,POSITIVE,,
5,...Super camera. And product is so much good and perfect,Super camera,POSITIVE,,
6,"...Good Mobile, camera is little better' others then mobile compared,",camera is little better,POSITIVE,,
7,...money. Good battery life. Great looks. Decent camera at this price.,Decent camera at this price,POSITIVE,,
8,...Nice phone good camera clarity,Nice phone good camera clarity,POSITIVE,,
9,"...Product is quite good, little bit heavy  then common",little bit heavy  then common,POSITIVE,,
10,...Awesome phone and camera,Awesome phone and camera,POSITIVE,,
11,...Poor camera,Poor camera,NEGATIVE,,
12,...Camera quality bad,Camera quality bad,NEGATIVE,,
13,...Good product but back camera not good,Good product but back camera not good,NEUTRAL,,
14,"...gives me minimum of 14 hours battery. Camera is good But if loaded with many apps, it starts",Camera is good,POSITIVE,,
15,...the performance at this range is decent. Camera quality is good. No battery issues. And the important thing,Camera quality is good,POSITIVE,,
16,...Super camera,Super camera,POSITIVE,,
17,...Good product but little bit slow,little bit slow,NEUTRAL,,
18,...Best camera phone for all,Best camera phone for all,POSITIVE,,
19,...Good camera and Display,Good camera,POSITIVE,,
20,...Good camera,Good camera,POSITIVE,,
21,...Camera is very poor,Camera is very poor,NEGATIVE,,
22,...bought if for 9799 battery backup is fine display is good camera is average overall performance of the device is good,bought if for 9799 battery backup is fine display is good camera is average overall performance of the device is good,POSITIVE,,
23,...product.. The back side coating is open and such a bad quality camera.....,such a bad quality camera,NEGATIVE,,
24,...Good phone but price is little bit on higher side,price is little bit on higher side,NEUTRAL,,
25,"...Product nice,value for money good,process little bit late,charging good, nice mobile",process little bit late,NEUTRAL,,
26,...Camera quality is poor in this range.Heavy body phone,Camera quality is poor,NEGATIVE,,
27,"...like this phone.....good battery backup, best camera in front and my budget phone",best camera in front,POSITIVE,,
28,"...Good product,Only the performance is Little bit slowThe rest is good Best camera, display and","Good product,Only the performance is Little bit slow",POSITIVE,,
29,...Good product at this costBut the processor is little bit slowCamera and battery is good display also,the processor is little bit slow,NEUTRAL,,
30,...for it.Worst software worst battery lifeAverage cameraHanging a lotWASTAGE OF MONEYNEVER BUY,Average camera,NEUTRAL,,
31,...Good battery backup and camra is also good,camra is also good,POSITIVE,,
32,...Camera quality is poor. Rest of the phone is fine,Camera quality is poor,NEGATIVE,,
33,...Am not stisfied with my mobile camera..... Otherthings are good..... Camera performence,Am not stisfied with my mobile camera,NEGATIVE,,
34,...Awesome camera and battery is also awesome,Awesome camera,POSITIVE,,
35,...Exllent mobile Battery backup is very good Cemra very good Super mobile,Cemra very good,POSITIVE,,
36,...Camera quality very poor,Camera quality very poor,NEGATIVE,,
37,...Little bit overpriced with decent quality.,Little bit overpriced with decent quality,NEUTRAL,,
38,...Good at this price range. Good camera & excellent battery backup. Good display,Good camera,POSITIVE,,
39,...out there. The sound is pretty loud. The camera is good.,camera is good,POSITIVE,,
40,...Battery -GoodCamera and Display -Below AverageValue for money.,Camera and Display -Below Average,NEUTRAL,,
41,...Very good photo,Very good photo,POSITIVE,,
42,...Nice picture,Nice picture,NEUTRAL,,
43,...Great performance...Awesome camera...Nice mobile...,Awesome camera,POSITIVE,,
44,...Nice mobile good battery backup and camera quality,Nice mobile good battery backup and camera quality,POSITIVE,,
45,...Camera quality is very bad,Camera quality is very bad,NEGATIVE,,
46,...Phone is very good bt the camera quality is too bad . At these price the phone is best I loved,camera quality is too bad,NEGATIVE,,
47,...Good pic,Good pic,POSITIVE,,
48,"...mobile. Only and only wastage of money. Camera quality very poor, performance very poor, Hanging problem",Camera quality very poor,NEGATIVE,,
49,"...but the other parts and display, battery back camera is good.",back camera is good,POSITIVE,,
50,...Camera quality is bad  and the look of phone is also not great,Camera quality is bad,NEGATIVE,,
51,...thing it disappointed me i.e. cameraIt camera quality is badIf u want to buy a mobile of a better camera,camera quality is bad,NEGATIVE,,
52,"....it fair price,battery backup is super,rear camera is mind-blowing,front camera could be better. overall",rear camera is mind,POSITIVE,,
53,...Getting hanging sometimes mobile videos are not playing good getting slow motion and sound is not there for normal video,Getting hanging sometimes mobile videos are not playing good getting slow motion,NEGATIVE,,
54,...compromise in the performance at this price .Display i feel display is little bit bad and nits are too low and sharpness and clarity,Display i feel display is little bit bad,NEGATIVE,,
55,...this range there are many options it's camera quality is poor,camera quality is poor,NEGATIVE,,
56,...Beautiful UI5. Clear sound/voice------6. Average camera7. Hangs sometimes8. A bit bulky and heavy,Average camera,NEUTRAL,,
57,...Nice product....camera quality is good... valuable for this money,camera quality is good,POSITIVE,,
58,...Nice mobile at 7k price but front camera will disappoint you with 5mp.,front camera will disappoint you with 5mp,NEGATIVE,,
59,...Super camera,Super camera,POSITIVE,,
60,...job well for the level of usage she has. Camera is also ok.,Camera is also ok,POSITIVE,,
61,"...Excellent camera, battery backup very good, performance is",Excellent camera,POSITIVE,,
62,...please don't go with this phone as camera quality is very bad overall experience is very bad..,camera quality is very bad,NEGATIVE,,
63,...Bad camera,Bad camera,NEGATIVE,,
64,"...It's take long time to charge and camera is good,but not better...And sometime when I use",camera is good,POSITIVE,,
65,...I like it. 1) super back camera2) nice battery backup3) good sound quality,super back camera,POSITIVE,,
66,...Battery backup is goodCharging is averageCamera is averageBut phone heat too much during normal use,Camera is average,NEUTRAL,,
67,"...bought this phone 21/2 months earlier...gud camera,gud display,gud performance. An advice,plz",gud camera,POSITIVE,,
68,...Camera quality is very good,Camera quality is very good,POSITIVE,,
69,...Charging mode but haven't used it yet.Camera is excellent. Phone Supports heavy games like Call of,Camera is excellent,POSITIVE,,
70,...my relative(ordering date 13/02/2020 and delivery date 16/02/2020)...It seems the front camera does not working...It shows camera error...cannot connect,delivery date 16/02/2020)...It seems the front camera does not working,NEGATIVE,,
71,"...I bought this phone twicely but this time little bit costlier than earlier one,may be due to corona lockdown prices got",this time little bit costlier than earlier one,NEGATIVE,,
72,...phone Writing review after  2 months Everything good but camera could be a little better,Everything good but camera could be a little better,POSITIVE,,
73,...Camera and performance is average look Wise good,Camera and performance is average look Wise good,NEUTRAL,,
74,...Best phone best Beatty backup and best camerað·ð·ð·,best camerað·ð·ð·,POSITIVE,,
75,...adb fast boot tools to remove blotwares. Camera quality in outdoor light condition is very decent but in low light or artificial light condition,Camera quality in outdoor light condition is very decent,POSITIVE,,
76,...full 100 % and i lt works for 2 days ... Camera is grt ...lvd it value for money,Camera is grt,POSITIVE,,
77,...Best camera phone in this range,Best camera phone in this range,POSITIVE,,
78,...performance. Camera quality is average (excellent in day light conditions). No over heating issues till now. But experienced,excellent in day light conditions,POSTIVE,,
79,...Better than I expected. camera suffers in low light,camera suffers in low light,NEGATIVE,,
80,...Super camera,Super camera,POSITIVE,,
81,...Woow great phone for everything camera is good performance is good battery backup is amazing even pubg works good in phone,Woow great phone for everything camera is good performance is good battery backup is amazing even pubg works good in phone,POSITIVE,,
82,...camera quality is very bad...,camera quality is very bad,NEGATIVE,,
83,"...Nice mobile,  good battery life,  camera is good",camera is good,POSITIVE,,
84,...Good phone ..but the camera quality is poor,camera quality is poor,NEGATIVE,,
85,...gaming phone . but also not use photography. Because it's camera very bad,Because it's camera very bad,NEGATIVE,,
86,...battery performance is also very good but a little bit heavy.,a little bit heavy,POSITIVE,,
87,...Very poor camara And net problem,Very poor camara,NEGATIVE,,
88,...phone. Battery - 24 hrs round the clock .Display is good there is little bit of room for improvement as well.Camera - is OK however I feel the pictures,Display is good there is little bit of room for improvement as well,POSITIVE,,
89,...Very nice  good cemra ððï¿½ï¿½,Very nice  good cemra ððï¿½,POSITIVE,,
